t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,device
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0984,0.0768,0.0536,0.0408,0.0528,0.0624,0.0616,0.0704,0.08,0.0864,0.0928,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.0968,0.0832,68,0.0496,0.0272,8,-0.0136,-0.0392,-0.0616,-0.0832,-0.0984,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0976,-0.0768,-0.0512,-0.0256,-0.0336,-0.0464,-48,-0.0512,-0.0576,-0.0656,-0.0728,-0.08,-0.0872,-0.0944,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.0944,-0.0848,-0.0704,-0.0536,-0.0352,-16,4,0.0224,0.0432,64,84,0.0992,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0952,0.0728,0.0472,0.0416,0.0568,0.0624,0.0624,0.0704,0.08,0.0872,0.0944,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1008,0.0944,0.0808,0.0624,0.0424,0.0232,0.0024,-0.0216,-44,-0.0664,-88,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0944,-0.0736,-0.0464,-0.0248,-0.0376,-0.0488,-0.0488,-0.0528,-0.0608,-0.0672,-0.0736,-0.0816,microwave
-0.0888,-96,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0984,-0.0912,-0.0808,-0.0648,-48,-0.0312,-0.0128,0.0072,0.0272,0.0472,68,88,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0896,0.0672,0.0432,0.0448,0.0584,0.0624,0.0632,microwave
0.0736,0.0816,0.0888,0.0968,0.1,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0928,0.0768,0.06,0.04,0.0192,-0.0008,-0.0248,-0.0472,-0.0704,-0.0912,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-92,-68,-0.0408,-24,-0.0416,microwave
-0.0488,-0.0488,-0.0552,-0.0608,-0.0664,-0.0744,-0.0832,-0.0904,-96,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0976,-0.0912,-0.0768,-0.0624,-0.0456,-0.0272,-0.0064,0.0112,32,52,0.0728,92,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1,microwave
0.0864,0.0592,0.04,0.0472,0.0608,0.0616,0.0664,0.0752,84,0.0904,0.0976,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0992,0.0896,0.0736,0.0552,0.0352,16,-0.0064,-0.0288,-0.0512,-0.0752,-0.0936,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.0872,-0.0608,-0.0328,-0.0256,-0.0432,-48,-0.0504,-0.0568,-0.0632,-0.0696,-0.0768,-0.0848,-92,-0.0976,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-96,-0.0888,-0.0736,-0.0592,-0.0424,-0.0224,-4,0.0152,36,0.0568,76,0.0944,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0992,0.0808,0.0544,0.0384,0.0536,0.0616,0.0608,0.0688,0.0784,84,92,0.1,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0976,0.0864,0.0704,52,0.0312,0.0112,-0.0104,-0.0336,-0.0552,-0.08,-0.0968,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0824,-0.0568,-32,-28,-0.0464,-0.0496,-0.0496,-56,-64,-0.0704,-0.0768,-0.0864,-0.0928,-0.0984,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-96,-0.0864,-0.0728,-0.0544,-0.0384,-0.02,-0.0008,0.02,0.0384,0.0592,microwave
0.0808,0.0976,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0968,0.0744,0.0496,0.04,0.0552,0.0632,0.0616,0.0696,0.0792,0.0848,0.0928,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1008,0.0968,0.0832,0.0672,0.0472,microwave
28,0.0072,-0.0152,-0.0384,-0.0608,-84,-0.0984,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-96,-0.0784,-0.0512,-0.0256,-0.0336,-0.0488,-48,-0.0512,-0.0592,-64,-0.0704,-0.0792,-0.0872,-0.0944,-0.0992,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0936,-0.0832,-0.0672,microwave
-0.0512,-0.0336,-16,0.0048,0.0232,44,64,0.0856,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0928,0.0696,44,0.0424,0.0584,0.0632,0.0616,72,0.0808,0.0872,96,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1008,0.0936,0.08,0.0616,0.0432,0.0232,0.0008,-0.0216,-0.0432,-0.0664,-88,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0944,-0.0728,-0.0456,-0.0232,-0.0368,-0.0472,-48,-0.0528,-0.0592,-68,-0.0736,-0.08,-0.0888,-96,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.0992,-92,-0.0824,-0.0672,-0.0496,-0.0304,-0.0128,0.0072,0.0272,0.0472,0.0688,88,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1008,0.0888,64,0.0408,0.0456,0.0608,0.0608,0.0632,0.0744,0.0816,0.0896,0.0976,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1008,0.0912,0.0768,0.0576,0.0392,0.0184,-0.0032,-0.0256,-48,-0.0712,-0.0912,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-92,-0.0688,-0.0416,-0.0248,-0.0416,-0.0488,-0.0496,-0.0528,-0.0624,-0.0672,-0.0736,microwave
-0.0832,-0.0912,-0.0968,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0984,-0.0896,-0.0776,-0.0624,-0.0448,-0.0264,-0.0088,0.0104,0.0304,52,72,0.0912,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1,84,0.0592,0.0392,48,0.0616,0.0616,microwave
0.0656,76,84,0.0904,0.0984,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0992,88,0.0728,0.0544,0.0336,0.0136,-0.0088,-0.0304,-0.0528,-76,-0.0936,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0872,-0.0632,-36,-0.0272,microwave
-0.0448,-0.0488,-0.0512,-0.0552,-64,-0.0696,-0.0768,-0.0856,-92,-0.0976,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0968,-0.0896,-76,-0.0616,-0.04,-24,-0.0048,0.0136,0.0336,0.0552,0.0752,0.0936,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.0992,0.0792,0.0544,0.0392,0.0544,0.0624,0.0608,0.0672,0.0784,0.0848,92,0.0992,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1008,0.0976,0.0848,0.0672,0.0496,0.0296,8,-0.0136,-36,-0.0592,-0.0808,-0.0976,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.0832,-0.0568,-0.0304,-32,-0.0472,-48,-0.0512,-0.0584,-0.0648,-0.0696,-0.0776,-0.0872,-0.0944,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-96,-0.0864,-0.0744,-0.0576,-0.04,-24,-0.0016,0.02,0.0384,0.0576,0.0784,0.0968,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,96,0.0752,48,0.04,0.0552,0.0608,0.0616,0.0696,0.08,0.0864,0.0936,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1,0.0952,0.0816,0.0632,0.0448,0.0272,0.0032,-0.0184,-0.0416,-0.0632,-0.0864,microwave
-0.0992,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0968,-0.0768,-0.0512,-0.0256,-0.0344,-48,-0.0488,-52,-0.06,-0.0656,-0.0712,-0.0808,-0.0888,-0.0944,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0944,-0.0856,-0.0704,-0.0536,-36,-16,4,0.0216,0.0448,microwave
64,0.0816,0.0992,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0928,0.0712,0.0448,0.0424,0.0584,0.0624,0.0624,72,0.0808,0.0872,96,0.1,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1008,92,0.0784,0.0584,microwave
0.0392,0.02,0.0,-0.0232,-0.0464,-0.0688,-0.0896,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0936,-72,-0.0448,-0.0232,-0.04,-0.0496,-0.0496,-0.0544,-0.0616,-0.0664,-0.0728,-0.0824,-0.0896,-96,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0936,-0.0816,microwave
-0.0656,-48,-0.0304,-0.0104,0.0088,0.0272,48,68,0.0872,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0896,64,0.0424,0.0472,0.0608,64,0.0664,0.0736,0.0832,0.0888,0.0968,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1,0.0896,0.0736,0.0568,0.0376,16,-0.0064,-28,-52,-0.0736,-92,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0904,-0.0664,-0.0384,-0.0256,-0.0424,-48,-0.0496,-0.0544,-0.0616,-68,-76,-84,-92,-0.0976,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.0984,-0.0904,-0.0784,-0.0632,-0.0448,-0.0288,-0.0088,0.0104,0.0296,0.0512,72,0.0904,0.1008,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1,0.0856,0.0608,0.0384,0.0488,0.0624,0.0616,0.0672,0.0784,0.0856,0.0904,0.0992,0.1008,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0992,0.0872,0.0704,52,32,12,-0.0104,-32,-0.0544,-0.0776,-0.0952,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0856,-0.0592,-0.0328,-28,-0.0456,-0.0488,-0.0504,-56,-64,-0.0696,microwave
-0.0768,-0.0856,-92,-0.0984,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0968,-0.0888,-0.0768,-0.06,-0.0416,-24,-0.0056,0.0152,0.0344,0.0552,76,0.0936,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0992,0.08,0.0536,0.0384,0.0528,0.0616,microwave
0.0632,68,0.0776,0.0864,0.0928,0.1,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1008,0.0976,0.0848,0.0672,0.0488,0.0288,8,-0.0136,-0.0368,-0.06,-0.0824,-0.0976,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0984,-0.08,-0.0544,-0.0288,microwave
-0.0328,-0.0472,-48,-0.0512,-0.0584,-0.0632,-0.0712,-0.0784,-0.0872,-0.0936,-0.0984,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-96,-0.0864,-0.0728,-0.0568,-0.0392,-0.02,-0.0008,0.0192,0.0392,0.0584,0.0792,96,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.0968,0.0752,48,0.04,56,64,0.0616,0.0704,0.0816,0.0856,0.0944,0.1,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1,0.0952,0.0816,0.0648,0.0456,0.0256,0.0032,-0.0184,-0.0408,-64,-0.0856,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,microwave
-0.1,-0.1,-0.1,-0.0952,-0.0744,-48,-24,-0.0352,-48,-48,-0.0488,-0.0592,-64,-72,-0.08,-88,-0.0952,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.0992,-0.0936,-0.0832,-0.0696,-52,-0.0344,-0.0168,0.0032,0.0224,0.0416,0.0624,84,0.1,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,microwave
0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.0928,0.0696,0.0448,0.0424,0.0592,0.0616,0.0632,72,0.08,0.0888,0.0952,0.1,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1016,0.1,0.0936,0.0784,0.0616,0.0424,0.0208,0.0,-0.0224,-44,-0.0688,microwave
